ensembl_id,gene_name,gene_type
ENSG00000277339,NPBWR2,protein_coding
ENSG00000276534,KIR3DS1,protein_coding
ENSG00000280579,,lncRNA
ENSG00000280695,,lncRNA
ENSG00000277921,LILRP1,unprocessed_pseudogene
ENSG00000276044,KIR2DL4,protein_coding
ENSG00000276970,,unprocessed_pseudogene
ENSG00000276876,MYT1,protein_coding
ENSG00000275717,KIR3DL1,protein_coding
ENSG00000277554,KIR2DL3,protein_coding
ENSG00000280708,,lncRNA
ENSG00000277272,KIR3DL1,protein_coding
ENSG00000278074,KIR2DL4,protein_coding
ENSG00000281416,,lncRNA
ENSG00000275974,PPIAL4F,protein_coding
ENSG00000276885,KIR2DS4,protein_coding
ENSG00000262025,,processed_pseudogene
ENSG00000263275,,lncRNA
ENSG00000273510,KIR2DL1,protein_coding
ENSG00000262299,,unprocessed_pseudogene
ENSG00000280460,,TEC
ENSG00000262767,GEMIN2P1,processed_pseudogene
ENSG00000275786,KIR3DL1,protein_coding
ENSG00000274714,KIR2DS4,protein_coding
ENSG00000274574,U1,snRNA
ENSG00000261992,GATAD2B,protein_coding
ENSG00000282507,,lncRNA
ENSG00000273990,RNVU1-26,snRNA
ENSG00000277334,NCR1,protein_coding
ENSG00000273757,RNVU1-2A,snRNA
ENSG00000277650,KIR2DS5,protein_coding
ENSG00000273661,KIR2DL2,protein_coding
ENSG00000277355,KIR2DL4,protein_coding
ENSG00000275047,KIR2DS5,protein_coding
ENSG00000274807,KIR2DS4,protein_coding
ENSG00000274696,KIR3DL3,protein_coding
ENSG00000282469,LINC00254,lncRNA
ENSG00000274271,LILRP1,unprocessed_pseudogene
ENSG00000275511,KIR3DL2,protein_coding
ENSG00000276333,HS3ST6,protein_coding
ENSG00000274676,KIR2DL5A,protein_coding
ENSG00000275237,KIR2DL4,protein_coding
ENSG00000277078,KIR2DS4,protein_coding
ENSG00000282650,MEIOB,lncRNA
ENSG00000275659,KIR3DL1,protein_coding
ENSG00000263130,,lncRNA
ENSG00000273575,KIR2DL4,protein_coding
ENSG00000263163,SLC27A3,protein_coding
ENSG00000282069,LINC02124,lncRNA
ENSG00000275407,KIR2DL2,protein_coding
ENSG00000274826,LILRP2,transcribed_processed_pseudogene
ENSG00000278805,KIR2DL1,protein_coding
ENSG00000275699,KIR2DL4,protein_coding
ENSG00000277345,KIR2DS4,protein_coding
ENSG00000274324,KIR2DS4,protein_coding
ENSG00000276820,KIR2DL1,protein_coding
ENSG00000276423,KIR3DL1,protein_coding
ENSG00000281738,LINC01839,lncRNA
ENSG00000274130,,unprocessed_pseudogene
ENSG00000276424,KIR3DL2,protein_coding
ENSG00000273526,KIR2DS4,protein_coding
ENSG00000274193,KIR2DL4,protein_coding
ENSG00000278306,KIR2DS3,protein_coding
ENSG00000278345,,unprocessed_pseudogene
ENSG00000276328,KIR3DL3,protein_coding
ENSG00000281250,LINC02054,lncRNA
ENSG00000278731,KIR2DL2,protein_coding
ENSG00000274782,KIR2DL1,protein_coding
ENSG00000275080,KIR2DL1,protein_coding
ENSG00000275433,KIR3DL3,protein_coding
ENSG00000275732,KIR2DL4,protein_coding
ENSG00000277620,KIR3DL3,protein_coding
ENSG00000273738,FCAR,protein_coding
ENSG00000280830,ADI1,protein_coding
ENSG00000274891,TRAPPC12,protein_coding
ENSG00000274948,KIR3DL1,protein_coding
ENSG00000262647,OR9G4,protein_coding
ENSG00000281107,OR5G3,protein_coding
ENSG00000262268,OR9G3P,unprocessed_pseudogene
ENSG00000281313,OR5G1P,unprocessed_pseudogene
ENSG00000281279,OR5G4P,unprocessed_pseudogene
ENSG00000275018,,protein_coding
ENSG00000281777,OR9G2P,unprocessed_pseudogene
ENSG00000261958,OR9G1,protein_coding
ENSG00000281683,,processed_pseudogene
ENSG00000278625,U6,snRNA
ENSG00000262191,OR9G9,protein_coding
ENSG00000277742,KIR3DP1,unprocessed_pseudogene
ENSG00000274851,KIR2DP1,unprocessed_pseudogene
ENSG00000281839,LINC02735,lncRNA
ENSG00000275938,KIR2DS4,unprocessed_pseudogene
ENSG00000273688,KIR3DP1,unprocessed_pseudogene
ENSG00000262535,OR5G5P,transcribed_unprocessed_pseudogene
ENSG00000277570,LILRP1,unprocessed_pseudogene
ENSG00000290500,,lncRNA
ENSG00000276306,,unprocessed_pseudogene
ENSG00000274955,KIR2DL4,protein_coding
ENSG00000277317,KIR2DL3,protein_coding
ENSG00000280770,,lncRNA
ENSG00000262994,,processed_pseudogene
ENSG00000277070,LILRP1,transcribed_unprocessed_pseudogene
ENSG00000281723,,lncRNA
ENSG00000276974,,unprocessed_pseudogene
ENSG00000269823,,protein_coding
ENSG00000276676,KIR2DS5,protein_coding
ENSG00000278325,LILRP1,unprocessed_pseudogene
ENSG00000276930,KIR3DL3,protein_coding
ENSG00000262710,Y_RNA,misc_RNA
ENSG00000275289,LILRP2,transcribed_processed_pseudogene
ENSG00000262469,Y_RNA,misc_RNA
ENSG00000277616,KIR2DL1,protein_coding
ENSG00000277376,KIR2DP1,unprocessed_pseudogene
ENSG00000276295,Metazoa_SRP,misc_RNA
ENSG00000274163,KIR3DP1,unprocessed_pseudogene
ENSG00000275531,Metazoa_SRP,misc_RNA
ENSG00000274842,LILRP2,transcribed_processed_pseudogene
ENSG00000276258,KIR2DS2,protein_coding
ENSG00000273881,LILRP1,unprocessed_pseudogene
ENSG00000277940,,unprocessed_pseudogene
ENSG00000276086,KIR3DL3,protein_coding
ENSG00000275946,KIR2DL5B,protein_coding
ENSG00000278369,KIR2DL3,protein_coding
ENSG00000274406,KIR2DS4,protein_coding
ENSG00000274189,KIR2DL4,protein_coding
ENSG00000277725,KIR2DL2,protein_coding
ENSG00000275276,KIR2DL1,protein_coding
ENSG00000274722,KIR3DL2,protein_coding
ENSG00000278051,KIR3DP1,unprocessed_pseudogene
ENSG00000278850,KIR3DL2,protein_coding
ENSG00000276197,,misc_RNA
ENSG00000274917,RNA5-8SN5,rRNA
ENSG00000273730,5_8S_rRNA,rRNA
ENSG00000273937,,misc_RNA
ENSG00000276501,KIR3DL1,protein_coding
ENSG00000276329,KIR3DL1,protein_coding
ENSG00000274707,KIR2DL5B,protein_coding
ENSG00000275521,NCR1,protein_coding
ENSG00000275288,KIR3DL1,protein_coding
ENSG00000274120,LILRP2,transcribed_processed_pseudogene
ENSG00000282534,IMPDH1P5,processed_pseudogene
ENSG00000278710,KIR3DL2,protein_coding
ENSG00000274429,DLG5,protein_coding
ENSG00000276425,KIR2DS2,protein_coding
ENSG00000275421,KIR2DS1,protein_coding
ENSG00000273603,KIR2DS1,protein_coding
ENSG00000275172,KIR3DL3,protein_coding
ENSG00000276035,KIR3DP1,unprocessed_pseudogene
ENSG00000274830,KIR2DL3,protein_coding
ENSG00000275596,KIR2DL5A,protein_coding
ENSG00000280271,,lncRNA
ENSG00000276001,LILRP1,unprocessed_pseudogene
ENSG00000277964,KIR2DL4,protein_coding
ENSG00000279566,ZNF43,protein_coding
ENSG00000273922,LILRP2,transcribed_processed_pseudogene
ENSG00000279614,,processed_pseudogene
ENSG00000281763,DHX36,protein_coding
ENSG00000276004,KIR3DL2,protein_coding
ENSG00000274746,ZNF100,protein_coding
ENSG00000275608,KIR3DS1,protein_coding
ENSG00000274009,,unprocessed_pseudogene
ENSG00000274942,KIR2DP1,unprocessed_pseudogene
ENSG00000273518,KIR3DL1,protein_coding
ENSG00000278474,KIR3DL2,protein_coding
ENSG00000279280,CCNYL6,processed_pseudogene
ENSG00000276999,,unprocessed_pseudogene
ENSG00000279112,BRI3BPP1,transcribed_processed_pseudogene
ENSG00000280218,VN1R84P,unprocessed_pseudogene
ENSG00000275051,PIWIL1,protein_coding
ENSG00000280066,MTDHP4,processed_pseudogene
ENSG00000274106,,unprocessed_pseudogene
ENSG00000277976,KRT18P40,unprocessed_pseudogene
ENSG00000279974,,lncRNA
ENSG00000278780,ZNF430,protein_coding
ENSG00000273517,KIR2DS1,protein_coding
ENSG00000276985,FCAR,protein_coding
ENSG00000277193,KIR2DS3,protein_coding
ENSG00000274449,,lncRNA
ENSG00000276392,KIR2DL5A,protein_coding
ENSG00000279318,,TEC
ENSG00000278755,KIR2DL1,protein_coding
ENSG00000277101,ARHGEF26,protein_coding
ENSG00000276099,LILRP1,unprocessed_pseudogene
ENSG00000273578,KIR2DL2,protein_coding
ENSG00000278091,ZNF85,protein_coding
ENSG00000273502,KIR3DL3,protein_coding
ENSG00000273887,KIR2DL3,protein_coding
ENSG00000276498,KIR3DS1,protein_coding
ENSG00000276450,NCR1,protein_coding
ENSG00000274480,KIR3DL3,protein_coding
ENSG00000275112,LILRP1,unprocessed_pseudogene
ENSG00000274518,KIR2DS2,protein_coding
ENSG00000275970,FCAR,protein_coding
ENSG00000276013,,unprocessed_pseudogene
ENSG00000276806,KIR3DL3,protein_coding
ENSG00000274945,KIR2DL4,protein_coding
ENSG00000274724,KIR3DL3,protein_coding
ENSG00000276218,KIR2DL3,protein_coding
ENSG00000277362,KIR2DL4,protein_coding
ENSG00000276590,KIR2DL3,protein_coding
ENSG00000267728,KRTAP9-9,protein_coding
ENSG00000275750,KIR2DL1,protein_coding
ENSG00000263090,KRTAP9-2,protein_coding
ENSG00000262512,KRTAP9-4,protein_coding
ENSG00000262749,KRTAP9-3,protein_coding
ENSG00000263103,KRTAP9-10P,unprocessed_pseudogene
ENSG00000273522,KIR2DP1,unprocessed_pseudogene
ENSG00000267635,,protein_coding
ENSG00000267208,,unprocessed_pseudogene
ENSG00000278726,KIR3DL2,protein_coding
ENSG00000262218,KRTAP29-1,protein_coding
ENSG00000278329,KIR2DP1,unprocessed_pseudogene
ENSG00000274108,KIR2DL3,protein_coding
ENSG00000275452,KIR2DS2,protein_coding
ENSG00000275321,,unprocessed_pseudogene
ENSG00000278339,KIR2DP1,unprocessed_pseudogene
ENSG00000280428,BNIP3P24,processed_pseudogene
ENSG00000277356,KIR2DL1,protein_coding
ENSG00000280030,,lncRNA
ENSG00000275050,ZNF66,protein_coding
ENSG00000278079,KIR3DL1,protein_coding
ENSG00000276247,LILRP2,transcribed_processed_pseudogene
ENSG00000277596,KIR3DL3,protein_coding
ENSG00000275815,KIR2DP1,unprocessed_pseudogene
ENSG00000281157,ARHGEF26-AS1,lncRNA
ENSG00000278327,KIR2DL3,protein_coding
ENSG00000275059,,unprocessed_pseudogene
ENSG00000274610,KIR3DP1,protein_coding
ENSG00000274243,KIR2DS5,protein_coding
ENSG00000277551,U6,snRNA
ENSG00000273755,LILRP2,transcribed_unprocessed_pseudogene
ENSG00000274563,KIR2DS5,protein_coding
ENSG00000278414,KIR2DL5B,protein_coding
ENSG00000277963,LILRP2,transcribed_processed_pseudogene
ENSG00000290329,,lncRNA
ENSG00000281020,SNTG2,protein_coding
ENSG00000275136,FCAR,protein_coding
ENSG00000277176,KIR3DP1,transcribed_unprocessed_pseudogene
ENSG00000276552,U6,snRNA
ENSG00000275269,FCAR,protein_coding
ENSG00000290379,,lncRNA
ENSG00000274556,KIR3DL3,protein_coding
ENSG00000277603,TPO,protein_coding
ENSG00000278442,KIR3DL2,protein_coding
ENSG00000278573,,pseudogene
ENSG00000277196,PRODH,protein_coding
ENSG00000273498,KIR2DL4,protein_coding
ENSG00000274912,KIR2DP1,unprocessed_pseudogene
ENSG00000277750,KIR2DL4,protein_coding
ENSG00000281496,,unprocessed_pseudogene
ENSG00000276395,KIR2DS4,protein_coding
ENSG00000276938,FAM157A,lncRNA
ENSG00000276310,KIR2DL1,protein_coding
ENSG00000267237,,unprocessed_pseudogene
ENSG00000277630,,protein_coding
ENSG00000281577,,processed_pseudogene
ENSG00000267639,,processed_pseudogene
ENSG00000281503,,unprocessed_pseudogene
ENSG00000274706,RNU6-821P,snRNA
ENSG00000278747,U6,snRNA
ENSG00000281062,,transcribed_unprocessed_pseudogene
ENSG00000290324,,lncRNA
ENSG00000281617,,transcribed_unprocessed_pseudogene
ENSG00000273794,KIR2DL1,protein_coding
ENSG00000278758,KIR3DL2,protein_coding
ENSG00000290333,ANKRD18DP,lncRNA
ENSG00000273929,U6,snRNA
ENSG00000281935,DNAH10,protein_coding
ENSG00000278817,,protein_coding
ENSG00000276017,,protein_coding
ENSG00000275262,KIR3DL2,protein_coding
ENSG00000278793,U6,snRNA
ENSG00000276808,,unprocessed_pseudogene
ENSG00000278190,U6,snRNA
ENSG00000274786,KIR3DL3,protein_coding
ENSG00000281351,SUDS3P1,processed_pseudogene
ENSG00000280559,,lncRNA
ENSG00000280647,,lncRNA
ENSG00000274382,PROP1,protein_coding
ENSG00000262573,KRTAP9-2,protein_coding
ENSG00000263115,KRTAP9-10P,unprocessed_pseudogene
ENSG00000282480,,TEC
ENSG00000276465,KIR2DS4,protein_coding
ENSG00000262896,KRTAP9-4,protein_coding
ENSG00000282766,,TEC
ENSG00000275422,,unprocessed_pseudogene
ENSG00000282103,DLGAP2,lncRNA
ENSG00000263263,KRTAP9-6,protein_coding
ENSG00000275914,KIR2DL2,protein_coding
ENSG00000262221,KRTAP9-7,protein_coding
ENSG00000281644,,lncRNA
ENSG00000277392,KIR3DL3,protein_coding
ENSG00000262542,KRTAP29-1,protein_coding
ENSG00000275795,,unprocessed_pseudogene
ENSG00000277185,,unprocessed_pseudogene
ENSG00000282347,,lncRNA
ENSG00000282245,,lncRNA
ENSG00000262214,KRTAP9-12P,unprocessed_pseudogene
ENSG00000282665,ERICH1,protein_coding
ENSG00000262946,KRTAP9-11P,unprocessed_pseudogene
ENSG00000278229,RPS17,protein_coding
ENSG00000262594,KRTAP9-9,protein_coding
ENSG00000280971,,lncRNA
ENSG00000278666,,transcribed_unprocessed_pseudogene
ENSG00000275937,KIR2DL5B,protein_coding
ENSG00000278207,KIR2DL1,protein_coding
ENSG00000277885,KIR2DS2,protein_coding
ENSG00000276011,KIR2DL2,protein_coding
ENSG00000275629,KIR3DL2,protein_coding
ENSG00000277552,KIR3DL3,protein_coding
ENSG00000282606,CTDP1-DT,lncRNA
ENSG00000276324,,unprocessed_pseudogene
ENSG00000277240,LILRP1,unprocessed_pseudogene
ENSG00000290527,,lncRNA
ENSG00000273955,KIR2DP1,unprocessed_pseudogene
ENSG00000281949,,lncRNA
ENSG00000282330,,lncRNA
ENSG00000275021,U6,snRNA
ENSG00000281995,,lncRNA
ENSG00000281775,FTCD,protein_coding
ENSG00000278786,KIR3DP1,transcribed_unprocessed_pseudogene
ENSG00000281942,,lncRNA
ENSG00000290428,,lncRNA
ENSG00000278277,,protein_coding
ENSG00000281513,,lncRNA
ENSG00000281081,,lncRNA
ENSG00000281464,,lncRNA
ENSG00000282752,CTDP1,protein_coding
ENSG00000276994,,unprocessed_pseudogene
ENSG00000278692,KIR2DL2,protein_coding
ENSG00000281048,,lncRNA
ENSG00000282233,,lncRNA
ENSG00000275735,KIR2DS2,protein_coding
ENSG00000274681,SUDS3P1,processed_pseudogene
ENSG00000280635,PROP1,protein_coding
ENSG00000274947,KIR2DS4,protein_coding
ENSG00000282770,DLG5-AS1,lncRNA
ENSG00000273546,LILRP1,unprocessed_pseudogene
ENSG00000275495,,transcribed_unprocessed_pseudogene
ENSG00000275782,U6,snRNA
ENSG00000282690,,lncRNA
ENSG00000275035,CCDC92,protein_coding
ENSG00000276516,RN7SL284P,misc_RNA
ENSG00000276274,RNU6-1266P,snRNA
ENSG00000274708,U6,snRNA
ENSG00000276243,LILRP2,transcribed_processed_pseudogene
ENSG00000275848,KIR2DL4,protein_coding
ENSG00000276212,KIR3DP1,transcribed_unprocessed_pseudogene
ENSG00000277428,Y_RNA,misc_RNA
ENSG00000276256,,protein_coding
ENSG00000290528,,lncRNA
ENSG00000274082,,unprocessed_pseudogene
ENSG00000275168,U6,snRNA
ENSG00000277560,KIR3DP1,unprocessed_pseudogene
ENSG00000275416,KIR3DL2,protein_coding
ENSG00000282596,DNM1P38,unprocessed_pseudogene
ENSG00000281232,,lncRNA
ENSG00000277354,CRIM1,protein_coding
ENSG00000290534,,lncRNA
ENSG00000278476,RPL21P36,processed_pseudogene
ENSG00000279215,CRIM1-DT,lncRNA
ENSG00000277445,CPEB1,protein_coding
ENSG00000278833,,transcribed_processed_pseudogene
ENSG00000278368,KIR3DL1,protein_coding
ENSG00000277850,KIR2DL4,protein_coding
ENSG00000278025,NCR1,protein_coding
ENSG00000277153,RNU6-222P,snRNA
ENSG00000281753,,lncRNA
ENSG00000280541,FTCD-AS1,lncRNA
ENSG00000281289,LSS,protein_coding
ENSG00000276459,KIR2DL3,protein_coding
ENSG00000278248,KIR2DL1,protein_coding
ENSG00000263270,,lncRNA
ENSG00000281954,,lncRNA
ENSG00000274465,KIR3DS1,protein_coding
ENSG00000279389,GARRE1,protein_coding
ENSG00000263322,,lncRNA
ENSG00000275517,PRB1,protein_coding
ENSG00000262892,,processed_pseudogene
ENSG00000262634,SKA1,protein_coding
ENSG00000273918,,unprocessed_pseudogene
ENSG00000274957,KIR2DS4,protein_coding
ENSG00000282112,DSEL-AS1,lncRNA
ENSG00000262102,DSEL,protein_coding
ENSG00000262860,LSM14A,protein_coding
ENSG00000278070,GOLGA8DP,unprocessed_pseudogene
ENSG00000282220,,lncRNA
ENSG00000278614,KIR2DP1,unprocessed_pseudogene
ENSG00000279612,,TEC
ENSG00000278430,KIR2DL4,protein_coding
ENSG00000280679,,unprocessed_pseudogene
ENSG00000280618,CYFIP1,protein_coding
ENSG00000277028,KIR3DL3,protein_coding
ENSG00000273752,U6,snRNA
ENSG00000274788,LILRP2,transcribed_unprocessed_pseudogene
ENSG00000275353,KIR2DS4,protein_coding
ENSG00000290532,,lncRNA
ENSG00000282753,,lncRNA
ENSG00000282649,SEPTIN9-DT,lncRNA
ENSG00000277442,NCR1,protein_coding
ENSG00000282302,SEPTIN9,protein_coding
ENSG00000281254,,processed_pseudogene
ENSG00000281173,ABCB10P1,processed_pseudogene
ENSG00000280807,TUBGCP5,protein_coding
ENSG00000275436,KIR2DL5B,protein_coding
ENSG00000282110,MAPK4,lncRNA
ENSG00000278809,KIR3DL2,protein_coding
ENSG00000275637,NCR1,protein_coding
ENSG00000276357,KIR3DL2,protein_coding
ENSG00000282085,,processed_pseudogene
ENSG00000282443,,lncRNA
ENSG00000282352,ZNF965P,processed_pseudogene
ENSG00000262132,RNA5SP458,rRNA_pseudogene
ENSG00000282037,GXYLT1P1,processed_pseudogene
ENSG00000282782,CYP4F34P,unprocessed_pseudogene
ENSG00000282611,CNN2P12,processed_pseudogene
ENSG00000282677,SNX18P26,processed_pseudogene
ENSG00000282536,LINC00328-2P,processed_pseudogene
ENSG00000282715,ANKRD20A9P,unprocessed_pseudogene
ENSG00000278853,RNU6-55P,snRNA
ENSG00000252379,U6,snRNA
ENSG00000262113,,processed_pseudogene
ENSG00000274679,SPATC1L,protein_coding
ENSG00000278247,GOLGA6L1,protein_coding
ENSG00000278140,U6,snRNA
ENSG00000278495,KIR2DL1,protein_coding
ENSG00000262679,APOBEC3B-AS1,lncRNA
ENSG00000274920,KIR3DL1,protein_coding
ENSG00000281737,MPHOSPH10P5,unprocessed_pseudogene
ENSG00000262536,,unprocessed_pseudogene
ENSG00000262156,APOBEC3A,protein_coding
ENSG00000281754,,unprocessed_pseudogene
ENSG00000281012,,processed_pseudogene
ENSG00000280490,,processed_pseudogene
ENSG00000275009,GOLGA6L1,protein_coding
ENSG00000277046,Metazoa_SRP,misc_RNA
ENSG00000278508,GOLGA8DP,transcribed_unprocessed_pseudogene
ENSG00000276882,KIR3DL2,protein_coding
ENSG00000281999,,unprocessed_pseudogene
ENSG00000262453,,lncRNA
ENSG00000282044,,lncRNA
ENSG00000278728,CNTNAP2,protein_coding
ENSG00000281703,,unprocessed_pseudogene
ENSG00000278019,,unprocessed_pseudogene
ENSG00000280619,,lncRNA
ENSG00000280461,ABCB10P1,processed_pseudogene
ENSG00000281919,SLC45A2,protein_coding
ENSG00000281380,,unprocessed_pseudogene
ENSG00000276856,TUBGCP5,protein_coding
ENSG00000273772,SMN2,protein_coding
ENSG00000290436,,lncRNA
ENSG00000277069,RXFP3,protein_coding
ENSG00000282734,,lncRNA
ENSG00000281690,ADAMTS12,protein_coding
ENSG00000281997,,lncRNA
ENSG00000282141,,lncRNA
ENSG00000282001,DLGAP2-AS1,lncRNA
ENSG00000282152,DLGAP2,protein_coding
ENSG00000277091,U6,snRNA
ENSG00000281725,ELMO2P1,transcribed_unprocessed_pseudogene
ENSG00000281953,,lncRNA
ENSG00000280737,LINC02549,lncRNA
ENSG00000280759,AP2A2,protein_coding
ENSG00000276625,KIR2DL1,protein_coding
ENSG00000274639,KIR3DL3,protein_coding
ENSG00000290446,,lncRNA
ENSG00000277205,U3,snoRNA
ENSG00000274906,Metazoa_SRP,misc_RNA
ENSG00000276582,ABCB11,protein_coding
ENSG00000275306,KIR2DS1,protein_coding
ENSG00000277375,KIR2DP1,unprocessed_pseudogene
ENSG00000278403,KIR3DL2,protein_coding
ENSG00000275317,KIR2DL4,protein_coding
ENSG00000278373,G6PC2,protein_coding
ENSG00000261846,AADACL2,protein_coding
ENSG00000277567,U6,snRNA
ENSG00000275245,,unprocessed_pseudogene
ENSG00000275751,KIR3DP1,transcribed_unprocessed_pseudogene
ENSG00000276154,KIR2DS4,protein_coding
ENSG00000277909,SPC25,protein_coding
ENSG00000275031,METRNL,protein_coding
ENSG00000290470,,lncRNA
ENSG00000262411,LINC02066,lncRNA
ENSG00000262466,AADACL2-AS1,lncRNA
ENSG00000275225,,unprocessed_pseudogene
ENSG00000282814,,lncRNA
ENSG00000278856,KIR3DL1,protein_coding
ENSG00000278116,KIR2DL5A,protein_coding
ENSG00000274320,GOLGA6L9,protein_coding
ENSG00000275500,,protein_coding
ENSG00000275671,U6,snRNA
ENSG00000262473,GART,protein_coding
ENSG00000276327,KIR2DS1,protein_coding
ENSG00000274296,DECR2,protein_coding
ENSG00000274597,U6,snRNA
ENSG00000277835,KIR3DP1,transcribed_unprocessed_pseudogene
ENSG00000281945,,lncRNA
ENSG00000276307,LILRP1,unprocessed_pseudogene
ENSG00000290403,,lncRNA
ENSG00000273883,LILRP2,transcribed_processed_pseudogene
ENSG00000278759,TBCD,protein_coding
ENSG00000281425,,transcribed_unprocessed_pseudogene
ENSG00000275326,NOSTRIN,protein_coding
ENSG00000280638,CDH12P2,unprocessed_pseudogene
ENSG00000278821,KIR2DL1,protein_coding
ENSG00000274980,RNU6-1025P,snRNA
ENSG00000278562,,transcribed_unprocessed_pseudogene
ENSG00000282755,,protein_coding
ENSG00000277518,MUC6,protein_coding
ENSG00000276910,GTF2H2,protein_coding
ENSG00000282514,,unprocessed_pseudogene
ENSG00000276228,UBE2Q2P6,unprocessed_pseudogene
ENSG00000274042,GOLGA6L10,protein_coding
ENSG00000280716,FRG1-DT,lncRNA
ENSG00000262148,RPS5P3,processed_pseudogene
ENSG00000262911,DNAJC28,protein_coding
ENSG00000275049,,protein_coding
ENSG00000274166,GOLGA6L10,protein_coding
ENSG00000281830,LINC01596,lncRNA
ENSG00000281916,,lncRNA
ENSG00000276052,RNU1-51P,snRNA
ENSG00000262795,IFNGR2,protein_coding
ENSG00000277657,KIR2DS3,protein_coding
ENSG00000280784,,unprocessed_pseudogene
ENSG00000280557,GNG5P1,processed_pseudogene
ENSG00000280765,,lncRNA
ENSG00000275513,KIR3DL3,protein_coding
ENSG00000280898,,lncRNA
ENSG00000275737,KIR2DS2,protein_coding
ENSG00000278481,KIR2DL5B,protein_coding
ENSG00000273673,,transcribed_processed_pseudogene
ENSG00000282464,,lncRNA
ENSG00000277163,KIR2DS3,protein_coding
ENSG00000273831,LRRC56,protein_coding
ENSG00000282457,CSPG4P10,transcribed_unprocessed_pseudogene
ENSG00000278086,,protein_coding
ENSG00000290468,,lncRNA
ENSG00000277540,KIR2DL4,protein_coding
ENSG00000282209,GOLGA6L17P,transcribed_unprocessed_pseudogene
ENSG00000290504,,lncRNA
ENSG00000281567,SLC25A51P1,processed_pseudogene
ENSG00000277364,ADH5P4,processed_pseudogene
ENSG00000282183,GOLGA2P10,transcribed_unprocessed_pseudogene
ENSG00000280476,MPHOSPH10P5,unprocessed_pseudogene
ENSG00000274040,Metazoa_SRP,misc_RNA
ENSG00000278361,KIR3DL2,protein_coding
ENSG00000274692,KIR2DL1,protein_coding
ENSG00000280500,ELMO2P1,transcribed_unprocessed_pseudogene
ENSG00000290432,,lncRNA
ENSG00000274438,KIR2DS2,protein_coding
